# Developer Reference: Validation Types to Error Codes Mapping
# 
# This CSV serves as a developer reference for:
# - Verifying implementation completeness between code and documentation
# - Cross-referencing test coverage in sample/kogaro-testbed/
# - Mapping validation types to specific Kubernetes spec paths
# - Supporting automated tooling and test generation
# 
# For user-facing documentation, see: ERROR-CODES.md
#
Category,Entity Type,Resource,Match Criteria,Validation Type,Error Code,Description,Severity,Test File
Reference Validation,Ingress,IngressClass,spec.ingressClassName,dangling_ingress_class,KOGARO-REF-001,IngressClass 'nonexistent-class' does not exist,Error,ingress-missing-ingressclass.yaml
Reference Validation,Ingress,Service,spec.rules[].http.paths[].backend.service.name,dangling_service_reference,KOGARO-REF-002,Service 'nonexistent-service' referenced in Ingress does not exist,Error,ingress-orphan.yaml
Reference Validation,Pod,ConfigMap,spec.volumes[].configMap.name,dangling_configmap_volume,KOGARO-REF-003,ConfigMap 'missing-configmap' referenced in volume does not exist,Error,pod-missing-configmap-volume.yaml
Reference Validation,Pod,ConfigMap,spec.containers[].envFrom[].configMapRef.name,dangling_configmap_envfrom,KOGARO-REF-004,ConfigMap 'nonexistent-config' referenced in envFrom does not exist,Error,deployment-missing-configmap.yaml
Reference Validation,Pod,Secret,spec.volumes[].secret.secretName,dangling_secret_volume,KOGARO-REF-005,Secret 'missing-secret' referenced in volume does not exist,Error,pod-missing-secret-volume.yaml
Reference Validation,Pod,Secret,spec.containers[].envFrom[].secretRef.name,dangling_secret_envfrom,KOGARO-REF-006,Secret 'missing-env-secret' referenced in envFrom does not exist,Error,pod-missing-secret-envfrom.yaml
Reference Validation,Pod,Secret,spec.containers[].env[].valueFrom.secretKeyRef.name,dangling_secret_env,KOGARO-REF-007,Secret 'missing-secret-key' referenced in env does not exist,Error,pod-missing-secret-env.yaml
Reference Validation,Ingress,Secret,spec.tls[].secretName,dangling_tls_secret,KOGARO-REF-008,TLS Secret 'missing-tls-secret' referenced in Ingress does not exist,Error,ingress-missing-tls-secret.yaml
Reference Validation,PersistentVolumeClaim,StorageClass,spec.storageClassName,dangling_storage_class,KOGARO-REF-009,StorageClass 'nonexistent-storage' does not exist,Error,pvc-missing-storageclass.yaml
Reference Validation,Pod,PersistentVolumeClaim,spec.volumes[].persistentVolumeClaim.claimName,dangling_pvc_reference,KOGARO-REF-010,PVC 'missing-pvc' referenced in volume does not exist,Error,pod-missing-pvc.yaml
Reference Validation,Pod,ServiceAccount,spec.serviceAccountName,dangling_service_account,KOGARO-REF-011,ServiceAccount 'missing-sa' does not exist,Error,pod-missing-serviceaccount.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources.requests,missing_resource_requests,KOGARO-RES-001,Container 'test-container' has no resource requests defined,Error,deployment-missing-resources.yaml
Resource Limits Validation,StatefulSet,Container,spec.template.spec.containers[].resources.requests,missing_resource_requests,KOGARO-RES-002,Container 'test-container' has no resource requests defined,Error,statefulset-missing-resources.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources.limits,missing_resource_limits,KOGARO-RES-003,Container 'test-container' has no resource limits defined,Error,deployment-missing-resources.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources.limits,missing_resource_limits,KOGARO-RES-004,Container 'test-container' has no resource limits defined,Error,deployment-insufficient-resources.yaml
Resource Limits Validation,StatefulSet,Container,spec.template.spec.containers[].resources.limits,missing_resource_limits,KOGARO-RES-005,Container 'test-container' has no resource limits defined,Error,statefulset-missing-resources.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources.requests.cpu,insufficient_cpu_request,KOGARO-RES-006,Container 'test-container' CPU request 1m is below minimum 10m,Error,deployment-insufficient-resources.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources.requests.memory,insufficient_memory_request,KOGARO-RES-007,Container 'test-container' memory request 1Mi is below minimum 16Mi,Error,deployment-insufficient-resources.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources (QoS analysis),qos_class_issue,KOGARO-RES-008,Container 'test-container': BestEffort QoS: no resource constraints can be killed first under pressure,Error,deployment-missing-resources.yaml
Resource Limits Validation,StatefulSet,Container,spec.template.spec.containers[].resources (QoS analysis),qos_class_issue,KOGARO-RES-009,Container 'test-container': BestEffort QoS: no resource constraints can be killed first under pressure,Error,statefulset-missing-resources.yaml
Resource Limits Validation,Deployment,Container,spec.template.spec.containers[].resources (QoS analysis),qos_class_issue,KOGARO-RES-010,Container 'test-container': Burstable QoS: requests != limits may face throttling under pressure,Warning,deployment-burstable-qos.yaml
Security Validation,Deployment,Pod SecurityContext,spec.template.spec.securityContext.runAsUser,pod_running_as_root,KOGARO-SEC-001,Pod SecurityContext specifies runAsUser: 0 (root),Error,deployment-root-user.yaml
Security Validation,Deployment,Pod SecurityContext,spec.template.spec.securityContext.runAsNonRoot,pod_allows_root_user,KOGARO-SEC-002,Pod SecurityContext does not enforce runAsNonRoot: true,Error,deployment-root-user.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext.runAsUser,container_running_as_root,KOGARO-SEC-003,Container 'root-container' (container) SecurityContext specifies runAsUser: 0 (root),Error,deployment-root-user.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext.allowPrivilegeEscalation,container_allows_privilege_escalation,KOGARO-SEC-004,Container 'root-container' (container) SecurityContext does not set allowPrivilegeEscalation: false,Error,deployment-root-user.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext.allowPrivilegeEscalation,container_allows_privilege_escalation,KOGARO-SEC-005,Container 'privileged-container' (container) SecurityContext does not set allowPrivilegeEscalation: false,Error,deployment-privileged-container.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext.privileged,container_privileged_mode,KOGARO-SEC-006,Container 'privileged-container' (container) SecurityContext specifies privileged: true,Error,deployment-privileged-container.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext.readOnlyRootFilesystem,container_writable_root_filesystem,KOGARO-SEC-007,Container 'privileged-container' (container) SecurityContext does not set readOnlyRootFilesystem: true,Error,deployment-privileged-container.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext.capabilities.add,container_additional_capabilities,KOGARO-SEC-008,Container 'privileged-container' (container) SecurityContext adds capability: NET_ADMIN,Error,deployment-privileged-container.yaml
Security Validation,Deployment,Pod SecurityContext,spec.template.spec.securityContext,missing_pod_security_context,KOGARO-SEC-009,Pod has no SecurityContext defined,Error,deployment-missing-security-context.yaml
Security Validation,Deployment,Container SecurityContext,spec.template.spec.containers[].securityContext,missing_container_security_context,KOGARO-SEC-010,Container 'no-security-container' (container) has no SecurityContext defined,Error,deployment-missing-security-context.yaml
